file,qualified_name,kind,lineno,end_lineno,length,cyclomatic_complexity,max_nesting,arg_count,has_docstring
_release_staging/CapsuleWardrobeRAG/tools/project_audit_dump.py,redact_secrets,function,153,157,5,2,1,1,False
_release_staging/CapsuleWardrobeRAG/tools/project_audit_dump.py,run_cmd,function,160,166,7,4,1,2,False
_release_staging/CapsuleWardrobeRAG/tools/project_audit_dump.py,git_info,function,169,183,15,5,1,1,False
_release_staging/CapsuleWardrobeRAG/tools/project_audit_dump.py,should_exclude,function,186,197,12,5,2,4,False
_release_staging/CapsuleWardrobeRAG/tools/project_audit_dump.py,iter_files,function,200,216,17,7,2,2,True
_release_staging/CapsuleWardrobeRAG/tools/project_audit_dump.py,tree_view,function,219,245,27,7,2,1,True
_release_staging/CapsuleWardrobeRAG/tools/project_audit_dump.py,render,function,232,243,12,5,2,2,False
_release_staging/CapsuleWardrobeRAG/tools/project_audit_dump.py,dump_project,function,248,394,147,24,4,8,False
_release_staging/CapsuleWardrobeRAG/tools/project_audit_dump.py,parse_args,function,397,409,13,1,0,0,False
_release_staging/CapsuleWardrobeRAG/tools/project_audit_dump.py,main,function,412,442,31,5,1,0,False
_release_staging/CapsuleWardrobeRAG/tools/project_data_snapshot.py,utc_now_iso,function,26,27,2,1,0,0,False
_release_staging/CapsuleWardrobeRAG/tools/project_data_snapshot.py,sha256_file,function,30,35,6,2,1,1,False
_release_staging/CapsuleWardrobeRAG/tools/project_data_snapshot.py,fmt_bytes,function,38,43,6,3,2,1,False
_release_staging/CapsuleWardrobeRAG/tools/project_data_snapshot.py,sqlite_tables,function,46,48,3,2,0,1,False
_release_staging/CapsuleWardrobeRAG/tools/project_data_snapshot.py,table_rowcount,function,51,53,3,2,0,2,False
_release_staging/CapsuleWardrobeRAG/tools/project_data_snapshot.py,table_info,function,56,57,2,1,0,2,False
_release_staging/CapsuleWardrobeRAG/tools/project_data_snapshot.py,image_stats,function,60,81,22,5,2,2,True
_release_staging/CapsuleWardrobeRAG/tools/project_data_snapshot.py,ontology_stats,function,84,102,19,6,2,1,True
_release_staging/CapsuleWardrobeRAG/tools/project_data_snapshot.py,main,function,105,214,110,14,5,0,False
